sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData
sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData
sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData
sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData
sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData
sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData
sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData
sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData
sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData
sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData
sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData
sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData
sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData
sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData
sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData
sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData
sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData
sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData
sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData
sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData
sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData
sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData
sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData,sampleData
